Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Sims 3,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01
World of Warcraft,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29
Diablo III,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14
Microsoft Flight Simulator,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
StarCraft II: Wings of Liberty,2010.0,Strategy,Activision,2.57,1.68,0.0,0.58,4.84
Warcraft II: Tides of Darkness,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
Half-Life,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
World of Warcraft: The Burning Crusade,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88
The Sims: Unleashed,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
Doom II: Hell on Earth,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61
The Sims: Vacation,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07
The Sims 4,2014.0,Simulation,Electronic Arts,1.0,1.82,0.0,0.23,3.05
The Sims: Livin Large,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99
Star Wars: The Old Republic,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.96
Command & Conquer: Red Alert,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85
Myst,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81
Battlefield 3,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.46,2.78
Riven: The Sequel to Myst,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43
Theme Hospital,1997.0,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4
Monopoly,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39
Half-Life 2,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37
Guild Wars 2,2012.0,Action,NCSoft,0.96,1.07,0.0,0.27,2.31
Tomb Raider II,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29
The Sims: House Party,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16
SimCity 2000,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14
World of Warcraft: Cataclysm,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08
Sim Theme Park,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08
Warcraft: Orcs & Humans,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08
Star Wars: Dark Forces,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95
Who wants to be a millionaire,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94
The Sims: Makin' Magic,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92
World of Warcraft: Mists of Pandaria,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.22,1.82
The Sims: Hot Date,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82
Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72
The Sims 3: Late Night Expansion Pack,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.23,1.7
Sid Meier's Civilization V,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.17,1.68
The Sims: Superstar,2003.0,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68
StarCraft II: Heart of the Swarm,2013.0,Strategy,Activision,0.83,0.66,0.0,0.18,1.67
Diablo,1996.0,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59
Command & Conquer: Tiberian Sun,1999.0,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55
Warcraft III: The Frozen Throne,2003.0,Strategy,Activision,0.58,0.87,0.0,0.09,1.54
Call of Duty: Black Ops II,2012.0,Shooter,Activision,0.64,0.69,0.0,0.19,1.53
Final Fantasy XIV: A Realm Reborn,2010.0,Role-Playing,Square Enix,0.88,0.48,0.0,0.17,1.52
Football Manager 2012,2011.0,Sports,Sega,0.02,1.16,0.0,0.33,1.51
Anno 2070,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,0.29,1.43
SimCity (2013),2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,1.42
Battlefield 4,2013.0,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35
Command & Conquer: Red Alert 2,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34
World of Warcraft: Wrath of the Lich King,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29
The Sims 2: Nightlife,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27
Football Manager 2011,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26
Championship Manager 03/04,2003.0,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26
RollerCoaster Tycoon 2,2002.0,Strategy,Atari,1.19,0.05,0.0,0.0,1.25
Farming Simulator 2015,2014.0,Simulation,Focus Home Interactive,0.08,1.04,0.0,0.07,1.2
Grand Theft Auto V,2015.0,Action,Take-Two Interactive,0.39,0.69,0.0,0.09,1.17
Fallout: New Vegas,2010.0,Role-Playing,Bethesda Softworks,0.59,0.45,0.0,0.14,1.17
Spore,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,0.08,1.17
Worldwide Soccer Manager 2009,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01,1.15
Football Manager 2013,2012.0,Sports,Sega,0.0,0.95,0.0,0.21,1.15
Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03,1.15
Worldwide Soccer Manager 2008,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,1.12
Empire: Total War,2009.0,Strategy,Sega,0.01,0.97,0.0,0.1,1.08
Championship Manager 99/00,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07
Diablo II: Lord of Destruction,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06
Tomb Raider,1996.0,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03
Championship Manager 3,2003.0,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01
Fallout 3,2008.0,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.98
Grand Theft Auto: San Andreas,2005.0,Action,Take-Two Interactive,0.0,0.93,0.0,0.04,0.97
Mass Effect 3,2012.0,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.12,0.97
Far Cry 3,2012.0,Shooter,Ubisoft,0.22,0.62,0.0,0.12,0.96
Farming Simulator 2013,2012.0,Simulation,Focus Home Interactive,0.0,0.81,0.0,0.15,0.96
The Witcher 2: Assassins of Kings,2011.0,Action,Namco Bandai Games,0.25,0.56,0.0,0.14,0.96
Assassin's Creed III,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.12,0.93
Borderlands 2,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.1,0.93
Assassin's Creed,2008.0,Adventure,Ubisoft,0.01,0.83,0.0,0.07,0.91
The Elder Scrolls Online,2014.0,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,0.9
Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.88
Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88
The 7th Guest,1992.0,Adventure,Virgin Interactive,0.02,0.77,0.0,0.0,0.78
Portal 2,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.1,0.76
Assassin's Creed: Revelations,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.12,0.74
Crysis 2,2011.0,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74
Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73
Total War: Rome II,2013.0,Strategy,Sega,0.12,0.53,0.0,0.07,0.72
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72
Battlefield: Bad Company 2,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72
XCOM: Enemy Unknown,2012.0,Strategy,Take-Two Interactive,0.27,0.36,0.0,0.08,0.71
Crysis,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,0.71
Call of Duty: Ghosts,2013.0,Shooter,Activision,0.23,0.41,0.0,0.05,0.7
The Sims: Medieval,2011.0,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69
RIFT,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67
Mass Effect,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67
Command & Conquer: Red Alert 3,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67
The Sims 3: High-End Loft Stuff,2010.0,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.66
Napoleon: Total War,2010.0,Strategy,Sega,0.02,0.53,0.0,0.12,0.66
BioShock Infinite,2013.0,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66
Rocksmith 2014,2013.0,Misc,Ubisoft,0.36,0.24,0.0,0.06,0.65
Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65
Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64
Football Manager 2014,2013.0,Sports,Sega,0.0,0.6,0.0,0.03,0.64
Dragon Age II,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.08,0.63
Far Cry 4,2014.0,Shooter,Ubisoft,0.15,0.44,0.0,0.04,0.63
The Sims 3: Generations,2011.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63
Crysis 3,2013.0,Shooter,Electronic Arts,0.17,0.39,0.0,0.07,0.63
Tomb Raider III: Adventures of Lara Croft,1998.0,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62
Total War: Shogun 2,2011.0,Strategy,Sega,0.19,0.31,0.0,0.09,0.6
Dead Space,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59
Assassin's Creed: Brotherhood,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
Deus Ex: Human Revolution,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.08,0.58
The Sims 3: World Adventures,2009.0,Simulation,Electronic Arts,0.02,0.18,0.0,0.38,0.57
Titanfall,2014.0,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56
Assassin's Creed: Unity,2014.0,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55
Assassin's Creed II,2010.0,Action,Ubisoft,0.01,0.45,0.0,0.09,0.55
Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,0.13,0.38,0.0,0.04,0.55
Overwatch,2016.0,Shooter,Activision,0.25,0.24,0.0,0.04,0.53
StarCraft II: Legacy of the Void,2015.0,Strategy,Activision,0.19,0.29,0.0,0.04,0.53
Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0.0,0.09,0.53
The Sims 2: Open for Business,2006.0,Simulation,Electronic Arts,0.46,0.05,0.0,0.0,0.52
Dragon Age: Origins,2009.0,Role-Playing,Electronic Arts,0.0,0.46,0.0,0.05,0.51
Dishonored,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51
Euro Truck Simulator,2008.0,Simulation,Rondomedia,0.0,0.42,0.0,0.07,0.49
Medal of Honor,2010.0,Shooter,Electronic Arts,0.2,0.23,0.0,0.06,0.49
Sniper: Art of Victory,2008.0,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49
Far Cry 2,2008.0,Action,Ubisoft,0.01,0.45,0.0,0.03,0.48
World of Warcraft: Warlords of Draenor,2014.0,Action,Activision Blizzard,0.08,0.36,0.0,0.03,0.47
"Warhammer 40,000: Dawn of War II",2009.0,Strategy,THQ,0.0,0.45,0.0,0.02,0.47
FIFA 12,2011.0,Sports,Electronic Arts,0.04,0.33,0.0,0.1,0.47
Football Manager 2015,2014.0,Simulation,Sega,0.0,0.44,0.0,0.03,0.46
The Sims 3: Ambitions,2010.0,Simulation,Electronic Arts,0.0,0.29,0.0,0.17,0.46
The Sims 3: Outdoor Living Stuff,2011.0,Simulation,Electronic Arts,0.0,0.38,0.0,0.08,0.46
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.13,0.29,0.0,0.03,0.45
Watch Dogs,2014.0,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45
Max Payne 3,2012.0,Shooter,Take-Two Interactive,0.16,0.22,0.0,0.05,0.43
Microsoft Flight Simulator X,2006.0,Simulation,Microsoft Game Studios,0.02,0.36,0.0,0.05,0.43
Tomb Raider: The Last Revelation,1998.0,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,0.22,0.15,0.0,0.04,0.41
BioShock,2007.0,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,0.15,0.23,0.0,0.03,0.41
Duke Nukem Forever,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41
FIFA 14,2013.0,Sports,Electronic Arts,0.01,0.36,0.0,0.03,0.4
FIFA Soccer 13,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.4
Mafia II,2010.0,Action,Take-Two Interactive,0.17,0.17,0.0,0.05,0.4
Mass Effect 2,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.06,0.39
Battlefield 1,2016.0,Shooter,Electronic Arts,0.11,0.24,0.0,0.03,0.38
Saints Row: The Third,2011.0,Action,THQ,0.16,0.16,0.0,0.06,0.38
Dawn of Discovery,2009.0,Simulation,Ubisoft,0.0,0.32,0.0,0.06,0.38
Age of Empires III,2005.0,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38
Need for Speed: Hot Pursuit,2010.0,Racing,Electronic Arts,0.12,0.2,0.0,0.05,0.37
Rage,2011.0,Shooter,Bethesda Softworks,0.14,0.18,0.0,0.06,0.37
Medieval II: Total War Gold Edition,2008.0,Strategy,Sega,0.0,0.34,0.0,0.03,0.37
Need for Speed: The Run,2011.0,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.36
Sid Meier's Civilization: Beyond Earth,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36
Left 4 Dead 2,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.36
Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35
Football Manager 2016,2015.0,Simulation,Sega,0.0,0.33,0.0,0.02,0.35
Company of Heroes 2,2013.0,Strategy,THQ,0.06,0.25,0.0,0.04,0.34
The Sims 3: Town Life Stuff,2011.0,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34
Medal of Honor: Warfighter,2012.0,Action,Electronic Arts,0.14,0.15,0.0,0.04,0.33
The Witcher: Enhanced Edition,2008.0,Role-Playing,Atari,0.32,0.01,0.0,0.0,0.32
Might & Magic Heroes VI,2011.0,Role-Playing,Ubisoft,0.13,0.14,0.0,0.05,0.32
Dead Space 2,2011.0,Shooter,Electronic Arts,0.13,0.15,0.0,0.04,0.32
Batman: Arkham Asylum,2009.0,Action,Eidos Interactive,0.0,0.28,0.0,0.05,0.32
World of Warcraft: Legion,2016.0,Role-Playing,Activision,0.13,0.16,0.0,0.03,0.32
Fable III,2011.0,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05,0.32
Batman: Arkham Origins,2013.0,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,0.31
The Settlers 7: Paths to a Kingdom,2010.0,Strategy,Ubisoft,0.0,0.27,0.0,0.05,0.31
Kingdoms of Amalur: Reckoning,2012.0,Role-Playing,Electronic Arts,0.14,0.13,0.0,0.03,0.3
1701 A.D.,2006.0,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3
The Sims 2,2004.0,Simulation,Electronic Arts,0.02,0.24,0.0,0.04,0.29
Need for Speed: Most Wanted,2005.0,Racing,Electronic Arts,0.02,0.23,0.0,0.04,0.29
Borderlands: The Pre-Sequel,2014.0,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.02,0.29
SimCity 4,2003.0,Simulation,Electronic Arts,0.01,0.24,0.0,0.03,0.29
World of Tanks,2011.0,Shooter,Wargaming.net,0.0,0.23,0.0,0.05,0.29
FIFA 15,2014.0,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28
The Evil Within,2014.0,Action,Bethesda Softworks,0.1,0.16,0.0,0.02,0.27
Mass Effect Trilogy,2012.0,Action,Electronic Arts,0.09,0.16,0.0,0.02,0.27
RollerCoaster Tycoon 3,2004.0,Strategy,Atari,0.01,0.22,0.0,0.04,0.27
R.U.S.E.,2010.0,Strategy,Ubisoft,0.04,0.19,0.0,0.04,0.27
Tropico 4,2011.0,Strategy,Kalypso Media,0.1,0.13,0.0,0.04,0.27
Call of Duty: Black Ops 3,2015.0,Shooter,Activision,0.0,0.25,0.0,0.01,0.26
Zoo Tycoon 2: Ultimate Collection,2008.0,Strategy,Microsoft Game Studios,0.04,0.18,0.0,0.04,0.26
The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.04,0.25
Silent Hunter 5: Battle of the Atlantic,2010.0,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.25
LEGO Star Wars III: The Clone Wars,2011.0,Action,LucasArts,0.1,0.13,0.0,0.03,0.25
Anno 2205,2015.0,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25
Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25
L.A. Noire: The Complete Edition,2011.0,Adventure,Take-Two Interactive,0.08,0.13,0.0,0.03,0.25
Sid Meier's Civilization VI,2016.0,Strategy,Take-Two Interactive,0.09,0.13,0.0,0.02,0.25
Hitman: Absolution,2012.0,Action,Square Enix,0.03,0.17,0.0,0.04,0.24
Homefront,2011.0,Shooter,THQ,0.11,0.1,0.0,0.03,0.24
Total War: Attila,2015.0,Strategy,Sega,0.09,0.13,0.0,0.02,0.24
Metro 2033,2010.0,Shooter,THQ,0.0,0.19,0.0,0.05,0.24
Angry Birds,2011.0,Puzzle,Focus Home Interactive,0.0,0.18,0.0,0.05,0.24
DC Universe Online,2011.0,Role-Playing,Sony Online Entertainment,0.16,0.06,0.0,0.02,0.23
XCOM 2,2016.0,Strategy,Take-Two Interactive,0.09,0.12,0.0,0.02,0.23
Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,0.13,0.08,0.0,0.02,0.23
Spec Ops: The Line,2012.0,Shooter,Take-Two Interactive,0.11,0.09,0.0,0.02,0.23
Risen 2: Dark Waters,2012.0,Role-Playing,Deep Silver,0.0,0.19,0.0,0.03,0.22
The Sims 4: Get Together,2015.0,Simulation,Electronic Arts,0.05,0.15,0.0,0.02,0.22
LEGO The Lord of the Rings,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22
Dead Island,2011.0,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22
Doom (2016),2016.0,Shooter,Bethesda Softworks,0.07,0.13,0.0,0.02,0.21
Star Wars: Battlefront,2004.0,Shooter,LucasArts,0.07,0.13,0.0,0.02,0.21
Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.11,0.09,0.0,0.02,0.21
Defiance,2013.0,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21
EVE Online,2003.0,Role-Playing,CCP,0.0,0.19,0.0,0.01,0.2
"Warhammer 40,000: Space Marine",2011.0,Shooter,THQ,0.09,0.09,0.0,0.03,0.2
FIFA 16,2015.0,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2
Two Worlds II,2011.0,Role-Playing,Unknown,0.09,0.09,0.0,0.02,0.2
Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2
Total War: Shogun 2 - Fall of the Samurai,2012.0,Strategy,Sega,0.07,0.1,0.0,0.02,0.2
Shutter Island,2009.0,Adventure,Merscom LLC,0.0,0.17,0.0,0.03,0.2
Aliens vs Predator,2010.0,Shooter,Sega,0.0,0.17,0.0,0.02,0.19
Mafia III,2016.0,Action,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19
Supreme Commander 2,2010.0,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19
South Park: The Stick of Truth,2014.0,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19
NBA 2K11,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19
Metro: Last Light,2013.0,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19
Evolve,2015.0,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19
Need for Speed: Shift 2 Unleashed,2011.0,Racing,Electronic Arts,0.05,0.11,0.0,0.03,0.19
Tom Clancy's Splinter Cell: Blacklist,2013.0,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19
F1 2011,2011.0,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19
Saints Row IV,2013.0,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19
Arcania: Gothic 4,2010.0,Role-Playing,JoWood Productions,0.09,0.08,0.0,0.02,0.19
The Lord of the Rings: War in the North,2011.0,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.0,0.03,0.19
Driver: San Francisco,2011.0,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18
Call of Duty: World at War,2008.0,Shooter,Activision,0.02,0.14,0.0,0.03,0.18
Company of Heroes: Anthology,2009.0,Strategy,THQ,0.0,0.15,0.0,0.03,0.18
Aliens: Colonial Marines,2013.0,Shooter,Sega,0.1,0.06,0.0,0.02,0.18
FIFA Soccer 11,2010.0,Sports,Electronic Arts,0.0,0.14,0.0,0.04,0.18
Borderlands,2009.0,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.03,0.18
Brink,2011.0,Shooter,Bethesda Softworks,0.06,0.09,0.0,0.03,0.18
Dark Souls II,2014.0,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01,0.17
Dungeon Siege III,2011.0,Role-Playing,Square Enix,0.08,0.08,0.0,0.02,0.17
The Secret World,2012.0,Role-Playing,Funcom,0.07,0.08,0.0,0.02,0.17
Tom Clancy's Ghost Recon: Future Soldier,2012.0,Shooter,Ubisoft,0.05,0.1,0.0,0.02,0.17
